뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500601.20160712193733001,20160712,매일신문,최두성 기자 dschoi@msnet.co.kr,악수→공항 통합 이전→사드 수용 '화답 제스처',정치>국회_정당, 정치>외교, 정치>선거,,,,"유승민,유,박근혜","성산리,경북,파동,경북지역,영남권,대구공항,대구경북,영남","칠곡,대구,정부,청와대,새누리당,국방부","악수,공항,통합,사드,제스처,수용,화답,대통령,정치,박근혜,유승민,의원,시작,오찬,청와대,기점,박근혜,대통령,의원,유승민,새누리당,의원,관계설정,시작,정치권,오찬,악수,K2,공군기지,대구공항,통합이전,사드,소방수,역할,일련,사태,대통령,회복,신호탄,평가,제기,대통령,의원,급속도,진전,관측,파동,일명,국회법,폭발,의원,대통령,분노,배신,낙인,원내,대표,자리,의원,13총선,한가운데,공천,파동,의원,헌법,조문,언급,대통령,대립각,대통령,회복,사이,평행선,오찬,청와대,접점,의원,원내대표직,1년,그날,대통령,의원,악수,새누리당,의원들,특별,대통령,제스처,의원들,의원,대화,조금,할애,의원,백지,대구경북,민심,K2,건의,대통령,3일,공군,기지,대구공항,통합이전,약속,대구,숙원,사업,대통령,의원,정치적,선물,12일,의원,화답,제스처,포착,이날,의원,라디오,출연,영남권,사드,배치,결정,입장,정부안,수용,의원,사드,배치론자,대구경북,배치설,경북,지역,사드,민심,급속도,악화,일로,시점,의원,경북,칠곡,성주,결정,얘기,질문,입지,결정,배경,사드,목적,정부,국민들,결정,설득,설득,리더십,발휘,결정,TK,배치,결정,감당,이날,사드,배치,성주,성산리,결정,언론,보도,의원,정부안,말들,국방부,지역,사드,배치,지역,상황,의원,사실,영남,배치,확인,전후,사정,추측,가능,대통령,사드,배치,강조,사드,적극,배치론자,의원,역할론,주목,의원,소방수,사드,논쟁,형태,행동,정치권","사드,정치권,정부안,영남,박근혜,유승민,급속도,청와대,대구경북,성주,경북,배치론자,새누리당,tk,국회법,k2,소방수,배치설,의원들"," 지난 8일 청와대 오찬을 기점으로, 박근혜 대통령과 유승민 새누리당 의원 간 새로운 관계설정이 시작된 것 아니냐는 분석이 나오고 있다. 
정치권에서는 '오찬 악수'→'K2 공군기지+대구공항' 통합이전→사드 '소방수' 역할 등으로 이어진 일련의 사태를 보면서 박 대통령과 유 의원 간 관계 회복의 신호탄이 되고 있다는 평가가 제기되고 있다. 박 대통령의 ..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33700&yy=2016,
01500601.20160712192622001,20160712,매일신문,이상근 서강대 교수,"[경제 칼럼] 대구 신공항, 철저하게 준비해야",지역>대구, 지역>경북, 정치>행정_자치,,,,"권영진,가덕도,서병수","김해`대구,신공항,서대구~,신공,부산지역,대구광역시,영남권,낙동강,경남,동성로,영남,김해공항,울산,김해,남서,서대구,부산,K2공항,테크노폴리스,대구국가산단,창원,무산,대구경북,수변,경북,칠서공단,대구,대구공항,성서산단,인천공항,동대구역,용산","미화당,삼성자동차,K2,부산,위천국가공단,공군기,미군부대,사,부산지역,공군,대구경북,미군,정부,청와대,부산일보,국토교통부,국제신문,대구,CBS라디오,미군기지,도심,KNN방송","대구,철저,준비,대구,경북,평가지표,정치인,평가,지표,학생,범위,시험,K2,사안,냉정,보고,중앙,정부,설득,계획,청와대,대구공항,공군,기지,대구,국토교통부,지난달,영남,김해공항,확장,파장,파장,요인,가지,평가항목,영남,평가,항목,접근성,환경성,소음,경제성,비용,항목,정작,요소,공군,기지,이전비용,항목,감안,신공항,공항,역할,수행,평가항목,이해,접근,가능,평가,이의,대구경북,거주자,김해공항,접근성,불편,인천공항,이용,실정,접근성,강화,추가적,비용,사항,대구경북,정치인,사전,평가기준,관심,표명,구체적,평가지표,정보,지적,학생들,시험범위,시험,결정,일종,시험,시험,성적,사전준비,서병수,부산,시장,CBS,라디오,인터뷰,가덕도,시장직,사퇴선언,14일,부산,도심,미화당,백화점,부산,지역,국회의원,포함,2만,참석,가덕신공항,유치,궐기,대회,KNN방송,국제신문,부산일보,연일,중앙,정부,압박,모습,대구경북,정치인,호소,부산,판단,권영진,대구,시장,확정,김해,나흘,대구,동성로,백지,진상,규명,촉구,대회,참석,후회,눈물,대구,지역구,국회의원들,열흘,이달,정부,성명,김해,결정,수용,불가,운동,사실,돌입,경남,울산,부산지역,정부,결정,수용,비행기,이륙,사후,약방문,감정적,이성적,접근,대구,위천,국가,공단,무산,삼성자동차,부산,개발반대,낙동강,수변,지역,반대,확정,김해,부산,피해의식,감정적,냉정,대구,현안,해결,혜안,제시,대구시장,지역,정치인,K2공항,심도,소음,지역,낙후,공항,지역,현안,슬기,극복,플랜,중앙정부,설득,신공항,복합공항,대구,최대,난제,미군부대,대구,중심부,미군부대,외곽,도심,박차,시청사,건물,마련,대구광역시,청사,일개,구청,청사,작금,현실,용산,미군,기지,대구,미군,기지,중앙정부,관심,기회,활용,마지막,신공항,접근성,대구,남북,고구마,모양,형성,영남,접근성,북동쪽,위치,동대구역,해결,역부족,대구,경제,60%,남서쪽,서대구,성서산단,테크노폴리스,대구국가산단,대합공단,칠서공단,창원,연결,서대구,부산,김해,고속,전철,지역,영남,서부,발전,도모,김해,대구,신공항,수요,창출,윈윈","대구,신공항,부산,김해,정치인,영남,대구경북,미군,중앙정부,국회의원,접근성,평가항목,서대구,낙동강,부산지역,김해공항,평가지표,청와대,감정적,가덕신공항,미화당,백화점,용산"," 대구 경북 정치인 신공항 평가지표 몰라
학생이 범위도 모르고 시험 치르는 격
K2 미군부대 이전 사안 냉정하게 보고
중앙정부 설득할 정교한 계획 만들어야


지난 12일 청와대는 대구공항과 K2 공군기지 이전을 통한 대구 신공항 안을 내놓았다. 이는 국토교통부가 지난달 21일 발표한 영남권 신공항으로 김해공항을 확장하는 안과 맞물려 미묘한 파장을 낳고..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33688&yy=2016,
01101001.20160712172928391,20160712,한겨레,,[사설] 속이 뻔히 보이는 선심성 지역사업 남발,미분류,,,,,,박근혜,"김해공항,우호,춘천~속,밀양,영남권,계산,대구,무산","정부,대구시,K2,강원도,신공항,대구,케이투,대구공항,공군,광주","남발,선심,지역,사업,박근혜,대통령,대구,숙원사업,케이투,K2,공군기지,대구공항,통합,약속,건설,영남,약속,김해공항,확장,밀양,무산,실망,지역민,개발이익,선물,선거,내년,대통령,대통령,여당,우호적,지역민,속전속결,추진,모양새,민간공항,공군기지,소음,지역,주민,요구,대구,광주,대표적,대구시,영남,건설,대구공항,민간기능,신공항,이익금,비용,충당,케이투,기지,계획,계획,차질,통합,최선,대안,판단,주민,후보,지역,의견,비용,계획,별도,재정,투입,충당,대통령,한마디,통합,기정사실,추진,후유증,걱정,정부,춘천,속초,철도,건설,사업,재정사업,추진,사업,그동안,차례,예비,조사,예비,조사,편익,비용,대비,0.79,종합분석,AHP,기준치,0.5,0.518,적자,노선,가능성,대통령,공약,사업,강원도,숙원,사업,종합,점수,0.5,5일,민자사업,재정,투입,선회,정치적,사회,시설,사업,사전,조사,재정,낭비,권력자들,계산,정치,득실,사업,결정,정치,불신,지역,갈등,내년,대선,후보,정당들,각종,선심,지역,공약,남발,걱정","신공항,대구,지역민,종합분석,케이투,대구공항,공군기지,밀양,숙원사업,영남,기준치,춘천,가능성,속전,속전속결,개발이익,민자사업,권력자들,광주,속결,민간공항",박근혜 대통령이 11일 대구의 숙원사업인 케이투(K2) 공군기지와 대구공항의 조속한 통합 이전을 약속했다. 영남권 신공항 건설을 약속했다가 김해공항을 확장하는 쪽으로 결론을 낸 지 20일 만이다. 밀양 신공항이 무산된 데 실망한 지역민에게 개발이익을 기대할 수 있는 선물을 내놓은 셈이다. 내년 대통령 선거를 앞두고 대통령과 여당에 우호적인 지역민을 위한..,http://www.hani.co.kr/arti/opinion/editorial/752020.html,
01101001.20160712172925212,20160712,한겨레,김소연,‘새 대구공항’ 경북 군위 의성 유치 적극적 영천 예천도 거론,지역>경북,,,,,,"박근혜,신순식,강호인","군위,영천시,다인,군공항 이전에 관한,대구시,경기,신공항,예천,신공,밀양 신공항,수원시,영남권,예천군,안계평야,김해공항,수원,영천,광주광역시,동구,국제공,군공항,무산,경북,경마공원,의성군,금호읍,대구신공항,대구,대구공항,광주도,경주시,도심","군위,영천,대구시,울산시,국방부,군공항,공군기,태스크포,포항시,경북도청,정부,광주시,청와대,기획재정부,민·군,K2 공군,국토교통부,국토교통부·,대구공항,국무조정실,군위군","대구공항,경북,군위,의성,유치,영천,예천,거론,박근혜,대통령,대구공항,조속,지시,정부,작업,부지,선정,최대,신속,진행,K2,공군기지,통합,공항,대구공항,전투기,소음,고도,제한,논란,재산,침해,년간,제기,결정,밀양,무산,보상,성격,청와대,관계자,대통령,지시,사항,만큼,청와대,부지,선정,1~2개월,마무리,정부,공항,적극,후보지,관심,경북,공항,유치전,모양새,영남,김해공항,확장,결정,시점,신공항,사회,혼란,가중,군공항,경기,수원시,광주광역시,추진,사안,박근혜,대통령,대구,형평,논란,제기,대구공항,결정,국무조정실,이날,국토,교통부,국방부,기획재정부,대구시,참여,태스크포스,TF,지리,여건,공항,통합,가능,부지,선정,민간공항,생각,접근성,안전성,중요,일반적,도시,공항,위치,도심,거리,평가,대구공항,군공항,군사적,중요,경북,군위군,12일,유치,의사,대구,도심,거리,땅값,건설,비용,장점,부군수,신순식,군위,군위,대구,근교,인구,낙후,공항,유치,대구도시철도,연장,지역,발전,기회,공항,마련,단점,후보지,영남,거론,경북,영천,적합,경주시,포항시,울산시,항공,수요,대구,30~40분,도착,공항,영천시,금호읍,경마공원,조성,경북,의성군,경북도청,후보지,거론,안계평야,다인,등지,공간,대구,1시간,단점,공군기지,자리,예천군,후보지,거론,노골적,비판,선심,정책,대구공항,6.71,대구시,동구,6.71,부지,활주,2개,국제공항,시설,공항,건설,부지,확보,건설,7조,기간,13년,대구시,추정,민간,항공기,운영,시설,포함,사업비,7조,군공항,통과,군공항,특별법,국비,지원,기부,양여,기부,형태,진행,군공항,지방자치단체,비행장,부지,매각,비용,부지,비행장,방식,대구시,기부,양여,방식,비용,마련,대구신공항,국비,지원,군공항,요구,지역,영향,재정,부족,정부,부담,대구,경북,대통령,선심,정책,도마,강호,국토,교통부,장관,계획,영남,김해공항,확장,결정,후보지,지역,민심,정부,선심,사업,수차례,강조,헛말,군공항,논의,지역,경기,수원,광주광역시,대구시,3곳,수원,사업,국방부,합의,후보지,예정,광주도,군공항,건의안,국방부,정부,추진,대구,수원시,광주시,가능성,김소연,최혜정","군공항,대구,후보지,경북,대구시,대구공항,신공항,국방부,영남,수원,청와대,7조,영천,비행장,수원시,광주광역시,태스크포스","박근혜 대통령이 ‘대구공항 조속 이전’을 지시하면서, 정부가 부지 선정 작업을 최대한 신속하게 진행하기로 했다. 민 군(K2 공군기지) 통합 공항인 대구공항은 전투기 소음과 고도 제한 등 재산권 침해 논란으로 수십년간 민원이 제기돼온 곳으로, 이번 결정은 ‘밀양 신공항’ 무산에 대한 보상 성격이 강하다. 청와대 관계자는 12일 “대통령 지시 사항인 만큼..",http://www.hani.co.kr/arti/economy/economy_general/752017.html,
01100901.20160712163706002,20160712,중앙일보,남윤호,[뉴스룸 레터] 데자뷔 신공항,정치>정치일반,,,,,,"테레사,메이","김해공항,한반도,행복주택,영국,중국,보금자리주택,영남권,대구,한국,북한","정부,일본,중앙일보,TK,팩트체,보수당,대구,공군","데자뷔,공군기지,대구,공군,기지,민간공항,통합,계획,대구,인근,지자체,사이,입지,유치전,시작,사업,데자뷔,공항,추진,인상,김해공항,확장,마무리,대구,수요,흡수,수급,상황,감안,백지화,영남,백지,TK민심,국책사업,지적,일각,국책,사업,사전계획,나중,실패,국민,비용,분담,낙진,정권,정권,정책,다반사,보수,정권,사이,차별화,이명박,정부,보금자리주택,박근혜,정부,행복주택,뉴스테이,사업,피해,사람,가구,보금자리,주택,사전,예약,당첨자,정책,일관,중요,역설적,사례,영국,테레사,메이,13일,번째,취임,여성,정책노선,관심거리,보수당,대표,근로자,계층,개혁,브렉시트,투표,사회분열,수습,근로자,중우정치,광풍,보수,진화,주목,괴담,사드,레이더,전자파,불임,사드,중국,공격,무기,한국,일본,방패막,장비,애들,얘기들,인터넷,공간,북한,중국,한반도,겨냥,미사일,배치,상황,괴담,안보,도움,중앙일보,팩트체크팀,사드,괴담,검증","대구,근로자,사드,중국,보금자리주택,당첨자,국책사업,전자파,보금자리,백지화,애들,방패막,얘기들,영국,테레사,일본,사회분열,한국,브렉시트,중앙일보,팩트체크팀,김해공항,중우,보수당,민간공항,관심거리,영남,유치전,중우정치","어제 대구 공군기지 민간공항 통합 이전 계획이 나온 뒤 대구 인근 지자체들 사이엔 입지 유치전이 시작됐습니다. 신공항 사업 발표 때와 데자뷔입니다. 공항 새로 짓는 데 한두 푼 드는 게 아닌데, 발표도 추진도 좀 성급하지 않나 하는 인상을 줍니다. 특히 김해공항 확장이 마무리되면 대구의 수요까지 상당폭 흡수할 텐데, 그 수급 상황까지 감안했는지 불분명합..",https://www.joongang.co.kr/article/20296952,
01100901.20160712163411001,20160712,중앙일보,홍권삼.신용호.윤석만,‘앓던 이’ 빠진 대구 신공항 무산 뒤 흔들리던 민심 달래기,지역>대구, 지역>충북, 정치>국회_정당,범죄>기업범죄>거래제한,,,"유승민,유,권영진,박근혜","김해공항,중·동,영천,수성구,동구,대구시,밀양,군공항,신공항,서홍,무산,예천,방촌동,경북,류천봉,대구시민추진단,영남권,대구,대구공항,영남","추진위원회,대구시,국방부,K-2 공군,동구을,국회,국방위,공군,도민,K-2,정부,청와대,대구공항,새누리당","대구,신공항,무산,민심,K-,기지,유승민,지역,고도제한,신도시,주민,지역,발전,계기,7조,건설,공군기지,대구,거리,박근혜,대통령,수석비서관회의,청와대,수석,비서관,회의,공군기지,K-,대구공항,통합,천명,중단,대구,이전작업,재개,전망,K-,대구공항,겸용,공항,대구시,신공항,그동안,영남,건설,대구공항,폐쇄,신공항,통합,K-,공군기지,지역,방안,추진,정부,김해공항,지난달,확장,대구공항,유지,K-,이전작업,잠정,중단,대구,민심,극도,악화,상황,대통령,통합,발언,대구시,기지,작업,추진,권영진,대구,시장,환영,대구,민간공항,태스크포스,TF,구성,입지,선정,이행,마련,정부,요구,대구,시민,환영,분위기,영남,유치,운동,단체,남부,도민,추진위원회,이날,성명서,대통령,발언,백지,정부,책임,인식,해법,차원,환영,주민,은희진,K-,대구공항,동시,동구,발전,획기적,계기,기대감,K-,대구시,최대,현안,공군,기지,주변,전투기,이착륙,대화,TV,정도,소음피해,지원,특별법,제정,K-,적극,K-,기지,위치,대구,동구,지역구,의원,유승민,새누리당,국회,국방,위원장,특별법,제정,주도,오비이락,烏飛梨落,대통령,의원,포함,새누리당,의원,청와대,오찬,회동,의원,의욕,K-,극적,돌파구,마련,사실,주목,대구시,그동안,기지,기본구상안,국방부,협의,이달,평가,최종,적정,상태,대통령,발언,적정,평가,공식,통과,공군,예비,후보지,선정,지역,주민투표,이전지,확정,후보지,예천,그동안,경북,영천,거론,청와대,관계자,유치,신청,대상,검토,대구,인근,차량,정도,안팎,정도,거리,비용,신기지,건설,7조,추산,민간사업자,기지,건설,국방부,기부,K-,부지,기부,방식,K-,부지,주거,상업,업무단지,시티,휴노믹,계획,건물,높이,제한,비행,안전,구역,해제,주변,지역,가속화,공항,고도,15층,제한,수성구,114.3,대구시,면적,대구시,13%,공인,중개사,류천봉,49,방촌동,K-,부지,3.3,400만,안팎,가격,주변,택지,대구,현지,청와대,배경,의구심,목소리,정부,백지화,영남,백지,K-,무산,반발,기류,대구,시민,요구,통합,카드,서홍명,K-,대구,시민,추진단,집행,위원장,건설,영남,연계,정부,무시,신공항,백지화,대구공항,카드,지역,민심,임시방편,생각,관계자,지역,대구,밀양,밀양,건설,시내,자리,대구공항,가능,대구,지역,대구공항,환영,풀이","대구,신공항,대구공항,대구시,청와대,그동안,영남,동구,공군기지,신도시,새누리당,관계자,유승민,류천봉,위원장,후보지","박근혜 대통령이 11일 청와대 수석비서관회의에서 공군기지(K-2)와 대구공항을 통합해 이전하도록 하겠다고 천명하면서 중단됐던 대구 K-2 이전작업이 재개될 전망이다. K-2와 대구공항은 민 군 겸용 공항이다.

대구시는 그동안 ‘영남권 신공항’이 건설될 경우 대구공항을 폐쇄한 뒤 신공항에 통합하고 K-2 공군기지를 다른 지역으로 옮기는 방안을 추진해왔다..",https://www.joongang.co.kr/article/20292965,
01500601.20160712105807001,20160712,매일신문,뉴미디어부,"새 대구공항 부지 1 2달내 결정 靑 "" 신속히 진행""",지역>강원, 지역>대구, 지역>경남,,,,,"군위,의성,영천,밀양,군공항,무산,예천,경북,정도,영남권,칠곡,대구,대구공항","정부,청와대,대구시,국방부,연합뉴스,국토교통부,신공항","대구공항,부지,2달,결정,진행,정부,민간,사용,계획,대구공항,통합,공항,부지,2개월,선정,방침,12일,청와대,관계자,지자체,관심,부지,선정,정도,신속,공항,부지,선정,방침,국방부,국토교통부,유관,부처,태스크포스,TF,예정,공항,영남,무산,밀양,유치,대구,경북,주민들,이용,만큼,대구,자동차,30분,최대,위치,건설,방침,기준,대구,인근,경북,영천,군위,의성,칠곡,예천,후보지,유력,거론,경북,군위,의성,지역,공항,유치,희망,대구공항,공항,기지,유치,대구시,시설,기지,이익금,비용,충당,기부,기부,양여,방식,진행,예정,공항,유치,희망,지자체,신속,추진,정부,관계자,유치,희망,지역,만큼,군공항,작업,진행","대구,대구공항,경북,만큼,관계자,지자체,의성,밀양,태스크포스,후보지,교통부,예천,국토교통부,2달,칠곡,영남,국방부,이익금,주민들,군공항,청와대,자동차,대구시,영천,2개월,tf,공항,유치,부지"," 정부는 군(軍)과 민간이 함께 사용하는 대구공항 통합이전 계획에 따라 새 공항 부지를 1 2개월 안에 선정할 방침인 것으로 12일 알려졌다.

연합뉴스에 따르면 청와대의 한 관계자는 ""여러 지자체에서 관심을 갖고 있다""면서 ""이전 부지를 선정하는 데 한두 달 정도면 될 것으로 보인다. 최대한 신속하게 새 공항 부지를 선정할 방침""이라고 말했다. 국방..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33587&yy=2016,
01500601.20160711205155001,20160711,매일신문,서광호 기자 kozmo@msnet.co.kr,2011년 당시 신공항 후보지로 거론된 14곳,지역>경북, 지역>대구, 지역>강원,,,,,"영해면,금호강,영주,상주,장수면,건천읍,강구면,동해안지,신공항,평야,경주,예천,동해안,청하면,약목면,포항공항,정도,영남권,칠곡,구미,임고면,포항,경남,울산,영천,경주국립공원,안강읍도,영덕,배후도,청도,대창면,경북,울산`포항공항,금호읍,예천공항,대구,장단,대구공항,동해안지역,충청도,유천면,사벌면,도심","울산,유네스코,피해,영천,울산시청,경주,공군기지,예천,대창면,대구경북,동해안,경북,국토교통부,중북부,대구,임고면,대구공항,동해안지역,대구시청,흥해읍,항공기","2011년,후보지,거론,14곳,영천,경주,탄탄,남부,지역,교통망,영주,상주,중북부,유리,부지,확보,대구,공군,기지,K2,대구공항,통합이전,추진,공항,후보,입지,여건,관심,집중,K2,소음,민간공항,접근성,우선,이외,통합,후보지,주변,지형,장애물,공역,확장,가능,요건,만족,국토,교통부,조사,바탕,경북,공항,후보지,점검,경북,공항,후보지,국토교통부,영남,후보지,35곳,선정,경북,거론,입지,14곳,후보지,북부지역,남부지역,동해안지역,남부,지역,후보지,6곳,북부지역,동해안지역,14곳,지자체별,영천,3곳,경주,영덕,포항,2곳,후보지,검토,이외,영주,예천,상주,청도,칠곡,등지,후보지,1곳,북부지역,동해안,지역,후보지,대구,구미,포항,도시,항공,수요,수용,접근성,부족,전투기,소음,군용기,이착륙,도시,장점,남부,지역,후보지,장점,연계,도로,고속철도,대구,울산,경남,충청도,지역,항공,수요,수용,북부,동해안,장단점,경북,북부지역,후보지,4곳,K2,대구공항,접근성,약점,농지,부지,확보,유리,주변,장애물,활주,설치,장점,북쪽,영주,예천,유천면,접근성,부지,항공기,진입,장애물,인근,공항,중첩,공역,운영,측면,예천,전투비행단,주민,반발,최소화,상주,사벌면,농지,부지,확보,확장성,유리,접근성,불리,예천공항,비행,절차,한계,칠곡,약목면,대구,구미,사이,접근성,대구시청,직선거리,항공기,진입,표면,장애물,비율,18.9%,거주지역,소음,영향,포함,동해안,지역,후보지,4곳,영덕,강구면,영해면,2곳,접근성,포항,청하면,흥해읍,대구,울산,접근,포항공항,비행,절차,장애물,도심,인접,소음,피해,약점,영천,경주,최적,접근,측면,후보지,경북,남부,지역,6곳,영천,경주,철도,고속도로,교통망,대구경북,도시,울산,영천,금호강,평야지역,금호읍,대창면,임고면,3곳,후보지,최대,장점,접근성,항공,수요,충족,대구시청,25~37,울산시청,53~61,정도,광역,인접,포항,구미,1시간,도달,금호읍,대창면,부지,면적,소음권역,포함,주거지,면적,임고면,활주,진입,표면,장애물,양옆,산들,분포,영천,후보지들,사이,추진,주민,이주,소음,장애물,측면,입지,여건,악화,경주,건천읍,안강읍,접근성,배후도시,공공지원,주변,분지지형,경주국립공원,유네스코세계문화유산,불국사,석굴암,근접,울산,포항공항,공역,약점","후보지,장애물,접근성,경북,영천,대구,경주,남부지역,포항,울산,14곳,상주,영주,2곳,교통망,예천,동해안,북부지역,칠곡,대구시청,항공기,국토교통부,영덕,임고면,구미,통합이전,포항공항"," 대구 공군기지(K2)와 대구공항의 통합이전이 추진되면서 '공항 후보지 입지 여건'에 대한 관심이 집중되고 있다. K2의 소음 문제에서 벗어나면서 민간공항으로서 접근성이 좋은 곳이 우선으로 꼽히기 때문이다. 이외에도 통합이전 후보지로서 주변 지형과 장애물, 공역, 확장 가능성 등 다양한 요건을 만족해야 한다. 국토교통부 조사를 바탕으로 경북의 공항 후보..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33488&yy=2016,
01500601.20160711204701001,20160711,매일신문,서광호 기자 kozmo@msnet.co.kr,[대구공항+K2 통합 이전] 이전부지 선정→민간공항 완공→기존부지 개발,지역>경남, 지역>전북, 지역>대구,,,,박근혜,"영남권,대구,대구공항,무산,대구시,대구경북","정부,대구시,국방부,K2,국토부,국토교통부,대구공항,공군","부지,선정,민간공항,완공,기존부지,국방부,국토부,로드맵,박근혜,대통령,대구공항,K2,통합이전,제시,대구,공군,기지,K2,이전사업,출발선,사업,영남,무산,대구공항,존치,결정,위기,대통령,동력,대구시,통합이전,대구공항,통합,환영,정부,이행,마련,요구,공식입장,공항,대구공항,활성,시도민,대구경북,여망,실현,정부,부처,협력,약속,애초,계획,국방부,협의,이전사업,적정,평가,마무리,계획,시일,국방부,평가단,구성,검토,최종,이전건의서,현장,국방부,작전운용,재원,조달,가능,여부,소음,피해,작전,운용,평가,이전건의서,여부,재원,조달,가능,적정,판정,대구공항,통합이전,계획,기존부지,주거,상업,산업용지,7조,이전사업비,충당,자신,대구공항,존치,걸림돌,국방부,사업,적정,판단,이전후보지,국방부,공군,예비이전후보지,선정,대구시,국방부,협의,주변,지역,지원,계획,수립,유치신청,주민투표,결정,계획,국토교통부,참여,부지,민간,공항,계획,이전후보,포함,후보,선정,부지,계획,부지,부지,민간,공항,배분,협의,규모,민간,공항,정도,할지,비용,부담,대구시,국방부,국토부,3자,치열,논의,대통령,지시,정부,통합,TF,구성,부처,사전,조율,이전후보지,잡음,진행,가능성,계획,사업,추진,선정,부지,사업자,지정,이전부지,사이,부지,민간,공항,완공,2025~2026년,기존부지,마무리,대구시,관계자,국방부,적정,평가,통과,최우선,정부,TF,결정,소음피해,공항,소음,피해,최소화,대구경북,도시,접근,최적,이전후보지","국방부,대구공항,이전후보지,대구시,대구경북,기존부지,통합이전,이전건의서,후보지,k2,이전부지,소음피해,대구,국토부,이전사업,tf,7조,이전사업비,주민투표,사업비"," 박근혜 대통령이 대구공항+K2 통합이전을 제시하면서 주춤하던 대구 공군기지(K2) 이전사업은 또 다른 출발선에 서게 됐다. K2 이전사업은 영남권 신공항이 무산되면서 대구공항의 존치`이전이 결정되지 않아 위기를 맞았지만, 이번 대통령의 발표로 재추진 동력을 얻었기 때문이다.
대구시는 11일 ""대구공항 통합이전을 일단 환영하고, 정부는 세부 이행계획을 ..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33532&yy=2016,
01500601.20160711204415001,20160711,매일신문,이창환기자 lc156@msnet.co.kr,"신공항추진위 ""정부 새 해법 제시 환영""",사회>사회일반,,,,,,박근혜,"영남권,신공항,신성,대구공항,무산","신공항추진위,남부권신공항범시도민추진위원회,정부,대구공항,K2","공항,추진위,정부,환영,해법,제시,대구공항,정부,차원,로드맵,남부권,신공항범시도민추진위원회,신공항추진위,대통령,박근혜,대구공항,추진,통합,환영,건설,대구공항,성격,정부,구체적,로드맵,제시,요구,신공항추진위,대선,공약,파기,무산,영남,분노,좌절감,실의,상황,대통령,대구공항,K2,통합,발언,백지화,영남,백지,정부,책임,인식,차원,해법,제시,적극,환영,해법,대구공항,활성,미래,먹거리,신성장,동력,지역,균형,발전,비수도권,상생,발전,디딤돌,지역민,결집,지혜,강조,대구공항,위상,정부,차원,로드맵,주장,공항,추진위,관계자,통합,절차,비용,정부,주도,진행,대구경북,성장,동력,대구공항,규모,구체적,정부,제시","대구공항,신공항추진위,로드맵,추진위,영남,관계자,백지화,박근혜,지역민,비수도,좌절감,실의,대구경북,디딤돌,비수도권,신성장,신공항범시도민추진위원회,남부권,범시,위원회,k2,정부"," 남부권신공항범시도민추진위원회(이하 신공항추진위)는 11일 박근혜 대통령의 대구공항과 K2 통합이전 추진에 대해 환영의 뜻을 나타냈다.
하지만 새로 건설될 대구공항의 성격과 기능 등에 대해 정부가 구체적인 로드맵을 제시해 달라고 요구했다. 
신공항추진위는 “대선공약 파기인 영남권 신공항 무산에 분노와 좌절감으로 실의에 빠져 있는 지금의 상황에서 대통령의..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=33531&yy=2016,
